thresholds precision_lower  precision_mid  precision_upper  recall_mid  f1_lower  f1_mid  f1_upper
6.700000000000000400e-01 7.696601233104917172e-01 7.696601233104917172e-01 7.696601233104917172e-01 4.895709676714563585e-01 5.984656097609832859e-01 5.984656097609832859e-01 5.984656097609832859e-01
6.800000000000000488e-01 7.732166219807684593e-01 7.732166219807684593e-01 7.732166219807684593e-01 4.799175582081290914e-01 5.922434150363877770e-01 5.922434150363877770e-01 5.922434150363877770e-01
6.900000000000000577e-01 7.769677238822810805e-01 7.769677238822810805e-01 7.769677238822810805e-01 4.701549060877291408e-01 5.858207981742017401e-01 5.858207981742017401e-01 5.858207981742017401e-01
7.000000000000000666e-01 7.809032313854838980e-01 7.809032313854838980e-01 7.809032313854838980e-01 4.603685847249633922e-01 5.792499447326492357e-01 5.792499447326492357e-01 5.792499447326492357e-01
7.099999999999999645e-01 7.846334902488231178e-01 7.846334902488231178e-01 7.846334902488231178e-01 4.503546744932961365e-01 5.722538404590042926e-01 5.722538404590042926e-01 5.722538404590042926e-01
7.199999999999999734e-01 7.887843390677985456e-01 7.887843390677985456e-01 7.887843390677985456e-01 4.400257812670691493e-01 5.649130639564577949e-01 5.649130639564577949e-01 5.649130639564577949e-01
7.299999999999999822e-01 7.927505043712171906e-01 7.927505043712171906e-01 7.927505043712171906e-01 4.292580967016000337e-01 5.569430073845194062e-01 5.569430073845194062e-01 5.569430073845194062e-01
7.399999999999999911e-01 7.968386716174480355e-01 7.968386716174480355e-01 7.968386716174480355e-01 4.180807521721081610e-01 5.484197629345860525e-01 5.484197629345860525e-01 5.484197629345860525e-01
7.500000000000000000e-01 8.005586552114857257e-01 8.005586552114857257e-01 8.005586552114857257e-01 4.064973891004959872e-01 5.392044631212867811e-01 5.392044631212867811e-01 5.392044631212867811e-01
7.600000000000000089e-01 8.039751119553885106e-01 8.039751119553885106e-01 8.039751119553885106e-01 3.945353181510315999e-01 5.293180077751437063e-01 5.293180077751437063e-01 5.293180077751437063e-01
7.700000000000000178e-01 8.078384031002983079e-01 8.078384031002983079e-01 8.078384031002983079e-01 3.825714264906160400e-01 5.192428398448117877e-01 5.192428398448117877e-01 5.192428398448117877e-01
7.800000000000000266e-01 8.118325749373773714e-01 8.118325749373773714e-01 8.118325749373773714e-01 3.699848516848859292e-01 5.083116022237647025e-01 5.083116022237647025e-01 5.083116022237647025e-01
7.900000000000000355e-01 8.156019216198889810e-01 8.156019216198889810e-01 8.156019216198889810e-01 3.567118688505487856e-01 4.963430236240420901e-01 4.963430236240420901e-01 4.963430236240420901e-01
8.000000000000000444e-01 8.192608297093106895e-01 8.192608297093106895e-01 8.192608297093106895e-01 3.433405676248461602e-01 4.838897991180542424e-01 4.838897991180542424e-01 4.838897991180542424e-01
8.100000000000000533e-01 8.230680392121201283e-01 8.230680392121201283e-01 8.230680392121201283e-01 3.295832756774865202e-01 4.706878081251429924e-01 4.706878081251429924e-01 4.706878081251429924e-01
8.200000000000000622e-01 8.272244812248248369e-01 8.272244812248248369e-01 8.272244812248248369e-01 3.155838291736157153e-01 4.568721928178310354e-01 4.568721928178310354e-01 4.568721928178310354e-01
8.300000000000000711e-01 8.308724899648833873e-01 8.308724899648833873e-01 8.308724899648833873e-01 3.011201013771857560e-01 4.420389502958089190e-01 4.420389502958089190e-01 4.420389502958089190e-01
8.399999999999999689e-01 8.340953555631167582e-01 8.340953555631167582e-01 8.340953555631167582e-01 2.856513411356866872e-01 4.255613482122029279e-01 4.255613482122029279e-01 4.255613482122029279e-01
8.499999999999999778e-01 8.375169683257918107e-01 8.375169683257918107e-01 8.375169683257918107e-01 2.695981326788484123e-01 4.078943743836393465e-01 4.078943743836393465e-01 4.078943743836393465e-01
8.599999999999999867e-01 8.401868591882545312e-01 8.401868591882545312e-01 8.401868591882545312e-01 2.521466182114792121e-01 3.878857136455173271e-01 3.878857136455173271e-01 3.878857136455173271e-01
8.699999999999999956e-01 8.420389025335242028e-01 8.420389025335242028e-01 8.420389025335242028e-01 2.334588410082368837e-01 3.655636238193393228e-01 3.655636238193393228e-01 3.655636238193393228e-01
8.800000000000000044e-01 8.433538390778164695e-01 8.433538390778164695e-01 8.433538390778164695e-01 2.136622508357063355e-01 3.409463322796578710e-01 3.409463322796578710e-01 3.409463322796578710e-01
8.900000000000000133e-01 8.440788533879338695e-01 8.440788533879338695e-01 8.440788533879338695e-01 1.936489960599815097e-01 3.150248355404432488e-01 3.150248355404432488e-01 3.150248355404432488e-01
9.000000000000000222e-01 8.444627937742499313e-01 8.444627937742499313e-01 8.444627937742499313e-01 1.731696392807463569e-01 2.874030202533749967e-01 2.874030202533749967e-01 2.874030202533749967e-01
9.100000000000000311e-01 8.453904731043422327e-01 8.453904731043422327e-01 8.453904731043422327e-01 1.520002330510017430e-01 2.576714383599695846e-01 2.576714383599695846e-01 2.576714383599695846e-01
9.200000000000000400e-01 8.476679049472256589e-01 8.476679049472256589e-01 8.476679049472256589e-01 1.308690617512326126e-01 2.267333931621640097e-01 2.267333931621640097e-01 2.267333931621640097e-01
9.300000000000000488e-01 8.536344668132859193e-01 8.536344668132859193e-01 8.536344668132859193e-01 1.102440480959004931e-01 1.952696688639207478e-01 1.952696688639207478e-01 1.952696688639207478e-01
9.400000000000000577e-01 8.567558475131469287e-01 8.567558475131469287e-01 8.567558475131469287e-01 8.809874079630614085e-02 1.597687353581646874e-01 1.597687353581646874e-01 1.597687353581646874e-01
9.500000000000000666e-01 8.562444062794803967e-01 8.562444062794803967e-01 8.562444062794803967e-01 6.444952625101049715e-02 1.198759856885723563e-01 1.198759856885723563e-01 1.198759856885723563e-01
9.599999999999999645e-01 8.799106311673803305e-01 8.799106311673803305e-01 8.799106311673803305e-01 4.302339977714497721e-02 8.203565061769753364e-02 8.203565061769753364e-02 8.203565061769753364e-02
9.699999999999999734e-01 8.826866348990243250e-01 8.826866348990243250e-01 8.826866348990243250e-01 2.124769680064671554e-02 4.149650551064347492e-02 4.149650551064347492e-02 4.149650551064347492e-02
9.799999999999999822e-01 9.046698872785828849e-01 9.046698872785828849e-01 9.046698872785828849e-01 5.114377061955152626e-03 1.017125290355052475e-02 1.017125290355052475e-02 1.017125290355052475e-02
9.899999999999999911e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.462132853636687807e-06 1.092420603780867690e-05 1.092420603780867690e-05 1.092420603780867690e-05
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
