thresholds precision_lower  precision_mid  precision_upper  recall_mid  f1_lower  f1_mid  f1_upper
0.000000000000000000e+00 8.787775999999999921e-02 8.787775999999999921e-02 8.787775999999999921e-02 1.000000000000000000e+00 1.615581515334958140e-01 1.615581515334958140e-01 1.615581515334958140e-01
1.000000000000000021e-02 2.758017617668473420e-01 2.758017617668473420e-01 2.758017617668473420e-01 9.607199819385473516e-01 4.285703262916412681e-01 4.285703262916412681e-01 4.285703262916412681e-01
2.000000000000000042e-02 3.272009378439039162e-01 3.272009378439039162e-01 3.272009378439039162e-01 9.457173237005586097e-01 4.861892622619760629e-01 4.861892622619760629e-01 4.861892622619760629e-01
2.999999999999999889e-02 3.557198929045453095e-01 3.557198929045453095e-01 3.557198929045453095e-01 9.354321275371607625e-01 5.154339860199492751e-01 5.154339860199492751e-01 5.154339860199492751e-01
4.000000000000000083e-02 3.762686510851641075e-01 3.762686510851641075e-01 3.762686510851641075e-01 9.260390797398567742e-01 5.351108146538050558e-01 5.351108146538050558e-01 5.351108146538050558e-01
5.000000000000000278e-02 3.932063995603736761e-01 3.932063995603736761e-01 3.932063995603736761e-01 9.171503688760387352e-01 5.504293228958370143e-01 5.504293228958370143e-01 5.504293228958370143e-01
5.999999999999999778e-02 4.080811133070904595e-01 4.080811133070904595e-01 4.080811133070904595e-01 9.097710273907755330e-01 5.634325160568666169e-01 5.634325160568666169e-01 5.634325160568666169e-01
7.000000000000000666e-02 4.214909671827467008e-01 4.214909671827467008e-01 4.214909671827467008e-01 9.031072253093388458e-01 5.747426502963982609e-01 5.747426502963982609e-01 5.747426502963982609e-01
8.000000000000000167e-02 4.339772897451483202e-01 4.339772897451483202e-01 4.339772897451483202e-01 8.969514015832902309e-01 5.849397354319564313e-01 5.849397354319564313e-01 5.849397354319564313e-01
8.999999999999999667e-02 4.453821908304791410e-01 4.453821908304791410e-01 4.453821908304791410e-01 8.906881559111201607e-01 5.938259810853755427e-01 5.938259810853755427e-01 5.938259810853755427e-01
1.000000000000000056e-01 4.560132030799676217e-01 4.560132030799676217e-01 4.560132030799676217e-01 8.844067031294380321e-01 6.017534231641645803e-01 6.017534231641645803e-01 6.017534231641645803e-01
1.100000000000000006e-01 4.661395894518841621e-01 4.661395894518841621e-01 4.661395894518841621e-01 8.782090030515115053e-01 6.090205865028954779e-01 6.090205865028954779e-01 6.090205865028954779e-01
1.199999999999999956e-01 4.757358126968044276e-01 4.757358126968044276e-01 4.757358126968044276e-01 8.719894544421705751e-01 6.156100533051918067e-01 6.156100533051918067e-01 6.156100533051918067e-01
1.300000000000000044e-01 4.847676826981098253e-01 4.847676826981098253e-01 4.847676826981098253e-01 8.659155627089265561e-01 6.215637636345101580e-01 6.215637636345101580e-01 6.215637636345101580e-01
1.400000000000000133e-01 4.937171538110985969e-01 4.937171538110985969e-01 4.937171538110985969e-01 8.600219213598525592e-01 6.273108060729045699e-01 6.273108060729045699e-01 6.273108060729045699e-01
1.499999999999999944e-01 5.021362441935919296e-01 5.021362441935919296e-01 5.021362441935919296e-01 8.537969106176579448e-01 6.323650579387479764e-01 6.323650579387479764e-01 6.323650579387479764e-01
1.600000000000000033e-01 5.103961486733114006e-01 5.103961486733114006e-01 5.103961486733114006e-01 8.477940266115112644e-01 6.371873599512845043e-01 6.371873599512845043e-01 6.371873599512845043e-01
1.700000000000000122e-01 5.184476274413504227e-01 5.184476274413504227e-01 5.184476274413504227e-01 8.418293775353400399e-01 6.416993625516806965e-01 6.416993625516806965e-01 6.416993625516806965e-01
1.799999999999999933e-01 5.265974164213926834e-01 5.265974164213926834e-01 5.265974164213926834e-01 8.358792941467784177e-01 6.461349002498153471e-01 6.461349002498153471e-01 6.461349002498153471e-01
1.900000000000000022e-01 5.343558512309127817e-01 5.343558512309127817e-01 5.343558512309127817e-01 8.300730469233625897e-01 6.501685652841080465e-01 6.501685652841080465e-01 6.501685652841080465e-01
2.000000000000000111e-01 5.419536900960760795e-01 5.419536900960760795e-01 5.419536900960760795e-01 8.245089542564580931e-01 6.540181279353910471e-01 6.540181279353910471e-01 6.540181279353910471e-01
2.099999999999999922e-01 5.494471793255208958e-01 5.494471793255208958e-01 5.494471793255208958e-01 8.187536869396762063e-01 6.575962856672820100e-01 6.575962856672820100e-01 6.575962856672820100e-01
2.200000000000000011e-01 5.566560880869396710e-01 5.566560880869396710e-01 5.566560880869396710e-01 8.127690100430415843e-01 6.607631454493917422e-01 6.607631454493917422e-01 6.607631454493917422e-01
2.300000000000000100e-01 5.636894370104189589e-01 5.636894370104189589e-01 5.636894370104189589e-01 8.065567442775054552e-01 6.635997579229307997e-01 6.635997579229307997e-01 6.635997579229307997e-01
2.399999999999999911e-01 5.706026799917410797e-01 5.706026799917410797e-01 5.706026799917410797e-01 8.000349576502632232e-01 6.661163802676088874e-01 6.661163802676088874e-01 6.661163802676088874e-01
2.500000000000000000e-01 5.774998641504232033e-01 5.774998641504232033e-01 5.774998641504232033e-01 7.933383827717046533e-01 6.684272331978520221e-01 6.684272331978520221e-01 6.684272331978520221e-01
2.600000000000000089e-01 5.847178642029933204e-01 5.847178642029933204e-01 5.847178642029933204e-01 7.868038511678040470e-01 6.708727426559911722e-01 6.708727426559911722e-01 6.708727426559911722e-01
2.700000000000000178e-01 5.916589145574948638e-01 5.916589145574948638e-01 5.916589145574948638e-01 7.804969084328048368e-01 6.730838377415074847e-01 6.730838377415074847e-01 6.730838377415074847e-01
2.800000000000000266e-01 5.986755321170791344e-01 5.986755321170791344e-01 5.986755321170791344e-01 7.742627941358541932e-01 6.752410962884628498e-01 6.752410962884628498e-01 6.752410962884628498e-01
2.899999999999999800e-01 6.053284229441093789e-01 6.053284229441093789e-01 6.053284229441093789e-01 7.679121543380259540e-01 6.769958025345307329e-01 6.769958025345307329e-01 6.769958025345307329e-01
2.999999999999999889e-01 6.118215605770510601e-01 6.118215605770510601e-01 6.118215605770510601e-01 7.615888252044658024e-01 6.785393038796547760e-01 6.785393038796547760e-01 6.785393038796547760e-01
3.099999999999999978e-01 6.183717245254950479e-01 6.183717245254950479e-01 6.183717245254950479e-01 7.553019102899299897e-01 6.800120974384740169e-01 6.800120974384740169e-01 6.800120974384740169e-01
3.200000000000000067e-01 6.248454037431285801e-01 6.248454037431285801e-01 6.248454037431285801e-01 7.487710201079317285e-01 6.812180201788633482e-01 6.812180201788633482e-01 6.812180201788633482e-01
3.300000000000000155e-01 6.310430954523001956e-01 6.310430954523001956e-01 6.310430954523001956e-01 7.419888718146662177e-01 6.820335806064258266e-01 6.820335806064258266e-01 6.820335806064258266e-01
3.400000000000000244e-01 6.372395122574578963e-01 6.372395122574578963e-01 6.372395122574578963e-01 7.354215674136437286e-01 6.828192157011905294e-01 6.828192157011905294e-01 6.828192157011905294e-01
3.500000000000000333e-01 6.430600179925459736e-01 6.430600179925459736e-01 6.430600179925459736e-01 7.288160280826456727e-01 6.832577177404763891e-01 6.832577177404763891e-01 6.832577177404763891e-01
3.599999999999999867e-01 6.487240679341202965e-01 6.487240679341202965e-01 6.487240679341202965e-01 7.220976046726725883e-01 6.834471688180094873e-01 6.834471688180094873e-01 6.834471688180094873e-01
3.699999999999999956e-01 6.544490848053712284e-01 6.544490848053712284e-01 6.544490848053712284e-01 7.155667144906743271e-01 6.836446435964249613e-01 6.836446435964249613e-01 6.836446435964249613e-01
3.800000000000000044e-01 6.599282554066854267e-01 6.599282554066854267e-01 6.599282554066854267e-01 7.090868042153100070e-01 6.836249380148062826e-01 6.836249380148062826e-01 6.836249380148062826e-01
3.900000000000000133e-01 6.649999224369282924e-01 6.649999224369282924e-01 6.649999224369282924e-01 7.024575956419463196e-01 6.832157349551845060e-01 6.832157349551845060e-01 6.832157349551845060e-01
4.000000000000000222e-01 6.700658627103460718e-01 6.700658627103460718e-01 6.700658627103460718e-01 6.959212433270943743e-01 6.827488579173235372e-01 6.827488579173235372e-01 6.827488579173235372e-01
4.100000000000000311e-01 6.747291859278220505e-01 6.747291859278220505e-01 6.747291859278220505e-01 6.896270455687536494e-01 6.820967784051669147e-01 6.820967784051669147e-01 6.820967784051669147e-01
4.199999999999999845e-01 6.792004763981979165e-01 6.792004763981979165e-01 6.792004763981979165e-01 6.832108601766817557e-01 6.811997658196538019e-01 6.811997658196538019e-01 6.811997658196538019e-01
4.299999999999999933e-01 6.836748396401168826e-01 6.836748396401168826e-01 6.836748396401168826e-01 6.766854321275371786e-01 6.801621804133568538e-01 6.801621804133568538e-01 6.801621804133568538e-01
4.400000000000000022e-01 6.877140534935212157e-01 6.877140534935212157e-01 6.877140534935212157e-01 6.701454383907828882e-01 6.788160905019268165e-01 6.788160905019268165e-01 6.788160905019268165e-01
4.500000000000000111e-01 6.918461652418839147e-01 6.918461652418839147e-01 6.918461652418839147e-01 6.632230953542739282e-01 6.772323283591246135e-01 6.772323283591246135e-01 6.772323283591246135e-01
4.600000000000000200e-01 6.960665068093798702e-01 6.960665068093798702e-01 6.960665068093798702e-01 6.564318435062522772e-01 6.756684326619801784e-01 6.756684326619801784e-01 6.756684326619801784e-01
4.700000000000000289e-01 6.998709029339171828e-01 6.998709029339171828e-01 6.998709029339171828e-01 6.494840105164264576e-01 6.737366964766320354e-01 6.737366964766320354e-01 6.737366964766320354e-01
4.799999999999999822e-01 7.036904807019153107e-01 7.036904807019153107e-01 7.036904807019153107e-01 6.423650306971866453e-01 6.716307810627570873e-01 6.716307810627570873e-01 6.716307810627570873e-01
4.899999999999999911e-01 7.073112858379961843e-01 7.073112858379961843e-01 7.073112858379961843e-01 6.350020756104843844e-01 6.692090647524807645e-01 6.692090647524807645e-01 6.692090647524807645e-01
5.000000000000000000e-01 7.107191394496585879e-01 7.107191394496585879e-01 7.107191394496585879e-01 6.274661529834170137e-01 6.665029227325252048e-01 6.665029227325252048e-01 6.665029227325252048e-01
5.100000000000000089e-01 7.143300729700357010e-01 7.143300729700357010e-01 7.143300729700357010e-01 6.199047404030325614e-01 6.637761119829996836e-01 6.637761119829996836e-01 6.637761119829996836e-01
5.200000000000000178e-01 7.176999178237158938e-01 7.176999178237158938e-01 7.176999178237158938e-01 6.122067745013072271e-01 6.607692919907913742e-01 6.607692919907913742e-01 6.607692919907913742e-01
5.300000000000000266e-01 7.211438870009879709e-01 7.211438870009879709e-01 7.211438870009879709e-01 6.046799554289958856e-01 6.577966687496472620e-01 6.577966687496472620e-01 6.577966687496472620e-01
5.400000000000000355e-01 7.246247453747686196e-01 7.246247453747686196e-01 7.246247453747686196e-01 5.971640606223918013e-01 6.547488576270983351e-01 6.547488576270983351e-01 6.547488576270983351e-01
5.500000000000000444e-01 7.281526107127035408e-01 7.281526107127035408e-01 7.281526107127035408e-01 5.895462060025198348e-01 6.515595272470804389e-01 6.515595272470804389e-01 6.515595272470804389e-01
5.600000000000000533e-01 7.317103331722699666e-01 7.317103331722699666e-01 7.317103331722699666e-01 5.817608459751363315e-01 6.481762663591356111e-01 6.481762663591356111e-01 6.481762663591356111e-01
5.700000000000000622e-01 7.349603465076486319e-01 7.349603465076486319e-01 7.349603465076486319e-01 5.740210037215331962e-01 6.445969237437666477e-01 6.445969237437666477e-01 6.445969237437666477e-01
5.799999999999999600e-01 7.383365983971504898e-01 7.383365983971504898e-01 7.383365983971504898e-01 5.661172974823208692e-01 6.408584021822806287e-01 6.408584021822806287e-01 6.408584021822806287e-01
5.899999999999999689e-01 7.418891294618557009e-01 7.418891294618557009e-01 7.418891294618557009e-01 5.583592481192055645e-01 6.371715799173280903e-01 6.371715799173280903e-01 6.371715799173280903e-01
5.999999999999999778e-01 7.451800111975177554e-01 7.451800111975177554e-01 7.451800111975177554e-01 5.500932204007020765e-01 6.329451765664624308e-01 6.329451765664624308e-01 6.329451765664624308e-01
6.099999999999999867e-01 7.482469307144778981e-01 7.482469307144778981e-01 7.482469307144778981e-01 5.418453997917106468e-01 6.285351020679706968e-01 6.285351020679706968e-01 6.285351020679706968e-01
6.199999999999999956e-01 7.517775080760832340e-01 7.517775080760832340e-01 7.517775080760832340e-01 5.334519223066223059e-01 6.240709204902833429e-01 6.240709204902833429e-01 6.240709204902833429e-01
6.300000000000000044e-01 7.552871751640215514e-01 7.552871751640215514e-01 7.552871751640215514e-01 5.252587230261672735e-01 6.196125850785760836e-01 6.196125850785760836e-01 6.196125850785760836e-01
6.400000000000000133e-01 7.588413517206707981e-01 7.588413517206707981e-01 7.588413517206707981e-01 5.166649673364455131e-01 6.147625242501806309e-01 6.147625242501806309e-01 6.147625242501806309e-01
6.500000000000000222e-01 7.625045108095399593e-01 7.625045108095399593e-01 7.625045108095399593e-01 5.078235949573589592e-01 6.096342828166255723e-01 6.096342828166255723e-01 6.096342828166255723e-01
6.600000000000000311e-01 7.662307150129219480e-01 7.662307150129219480e-01 7.662307150129219480e-01 4.987874065064926699e-01 6.042383498314894963e-01 6.042383498314894963e-01 6.042383498314894963e-01
