epochs  train  validation
0   0.4254023763868544   0.3861090183258057
1   0.31634415520562065   0.33442234992980957
2   0.28489507569207084   0.3699631214141846
3   0.2544870641496446   0.22133443355560303
4   0.24430698818630642   0.23533034324645996
5   0.23389922247992623   0.21702208518981933
6   0.21731183263990614   0.26752376556396484
7   0.21743224726782906   0.26047430038452146
8   0.21252032121022543   0.23546295166015624
9   0.21489955319298637   0.22382760047912598
10   0.19621535142262778   0.23100550174713136
11   0.20004079076978895   0.22841100692749022
12   0.19782847828335232   0.24198896884918214
13   0.19001796510484484   0.3119001626968384
14   0.19041776657104492   0.15815848112106323
15   0.19206931855943468   0.17785303592681884
16   0.1869085497326321   0.23717596530914306
17   0.18529494603474936   0.19781827926635742
18   0.18664275275336373   0.18833258152008056
19   0.1955972115198771   0.23796966075897216
20   0.18025528060065377   0.2028221607208252
21   0.1849522723091973   0.18211396932601928
22   0.18741639455159506   0.17157315015792846
23   0.19536549515194362   0.18555817604064942
24   0.18147843413882786   0.22474303245544433
25   0.16363855202992758   0.21108150482177734
26   0.16444840696122912   0.2362687349319458
27   0.1658159097035726   0.19043149948120117
28   0.1610965993669298   0.25938897132873534
29   0.1736951404147678   0.2560669660568237
30   0.16123746501074898   0.26017444133758544
31   0.16054549482133654   0.2974652528762817
32   0.1542381445566813   0.23508329391479493
33   0.15410796801249185   0.19441572427749634
34   0.15071961614820692   0.192114520072937
35   0.1523428757985433   0.17831623554229736
36   0.1552711327870687   0.20110440254211426
37   0.14918735292222765   0.16604950428009033
38   0.15400879912906223   0.13766121864318848
39   0.1567800972196791   0.15507341623306276
40   0.15026668707529703   0.1691768765449524
41   0.14376085334353977   0.23047211170196533
42   0.1570584641562568   0.1903963565826416
43   0.17521515157487658   0.202199387550354
44   0.1609969801372952   0.24594240188598632
45   0.15384957525465223   0.14766528606414794
46   0.14561034573449028   0.1855289101600647
47   0.14714109897613525   0.1841820001602173
48   0.14453339576721191   0.22898871898651124
49   0.14282382859124076   0.14315191507339478
50   0.12989626990424263   0.14703861474990845
51   0.12652250130971274   0.1369031310081482
52   0.13448786735534668   0.1278449535369873
53   0.13443509737650552   0.14706273078918458
54   0.12799653742048475   0.1308351755142212
55   0.12574795881907144   0.13886262178421022
56   0.12337427669101292   0.13024590015411378
57   0.12442284160190159   0.15586930513381958
58   0.11937133471171062   0.1680375099182129
59   0.12045933140648736   0.12910236120224
60   0.12663669056362575   0.13956178426742555
61   0.1263923380109999   0.17055779695510864
62   0.12113314204745823   0.13959877490997313
63   0.12001743581559923   0.11902668476104736
64   0.12562163670857748   0.14475349187850953
65   0.1178903579711914   0.12931246757507325
66   0.12050831317901611   0.15219112634658813
67   0.1249282889895969   0.12629880905151367
68   0.12147931257883708   0.12815059423446656
69   0.11771327919430202   0.11797163486480713
70   0.11849408679538304   0.15032763481140138
71   0.11701986524793836   0.12935613393783568
72   0.11364495754241943   0.12526378631591797
73   0.11639457278781468   0.14888300895690917
74   0.11474651760525173   0.15394508838653564
75   0.11204759279886882   0.1142875075340271
76   0.11347386572096083   0.12874606847763062
77   0.11726705233256023   0.1637098789215088
78   0.11893769105275472   0.12726314067840577
79   0.11562200387318929   0.1189081072807312
